"ensembl_id","gene_symbol","logFC_discovery","adj.P.Val_discovery","logFC_validation","adj.P.Val_validation","direction","hspc_mean_expr","hspc_status"
"ENSG00000162444","RBP7",-3.00990779480571,5.2143246322338e-115,-0.285583722843537,2.60286353321017e-50,"Down",NA,"Not-evaluated"
"ENSG00000116729","WLS",-2.97732278193308,5.43893751115818e-117,-0.164941445350704,1.10319783193921e-45,"Down",6.02965806451613,"HSPC-low"
"ENSG00000008517","IL32",-2.95238542184159,1.09842704555068e-109,-0.165254180862186,8.81816863911688e-15,"Down",6.24958387096774,"HSPC-low"
"ENSG00000186652","PRG2",-2.9322588743087,1.06959406748544e-30,-0.169088824371169,6.53697509514328e-13,"Down",6.88611612903226,"HSPC-low"
"ENSG00000057704","TMCC3",-2.8975505720386,3.83287696072147e-159,-0.17689823284951,1.04114293753911e-35,"Down",NA,"Not-evaluated"
"ENSG00000116701","NCF2",-2.89729152490251,6.80435070964213e-121,-0.161668622004751,3.00083048788376e-16,"Down",6.49239032258064,"HSPC-low"
"ENSG00000102010","BMX",-2.89454348084292,9.3425767134658e-109,-0.232260393818715,5.52289302417314e-42,"Down",5.79732903225807,"HSPC-low"
"ENSG00000159496","RGL4",-2.80588795759087,1.76188987883526e-118,-0.248818562666424,5.30860191688667e-34,"Down",NA,"Not-evaluated"
"ENSG00000197253","TPSB2",2.80399568435263,1.97647485171767e-107,0.187985364575319,9.04335266078706e-16,"Up",5.93617741935484,"HSPC-low"
"ENSG00000134827","TCN1",-2.7758535380874,7.69497345455631e-77,-0.320774404738909,1.93894511622791e-32,"Down",5.9756,"HSPC-low"
"ENSG00000120708","TGFBI",-2.76658791902382,2.63918146707772e-100,-0.252692605922553,6.95980236318498e-25,"Down",6.39881290322581,"HSPC-low"
"ENSG00000085265","FCN1",-2.72736216755807,4.23063929465178e-95,-0.190222040437331,2.30959634031367e-24,"Down",5.99236129032258,"HSPC-low"
"ENSG00000206557","TRIM71",2.63302316719579,4.84421936632096e-206,0.158096107767311,5.53659379261029e-20,"Up",NA,"Not-evaluated"
"ENSG00000166527","CLEC4D",-2.5897525099577,3.96966814826141e-47,-0.27880826774123,4.60433805635647e-48,"Down",NA,"Not-evaluated"
"ENSG00000185527","PDE6G",2.57576329176729,2.53470508542773e-203,0.166756238242473,1.28331368852597e-26,"Up",5.59426451612903,"HSPC-low"
"ENSG00000184937","WT1",2.56414179879311,7.04950879320033e-262,0.221329125392971,1.56995861227891e-34,"Up",5.45446935483871,"HSPC-low"
"ENSG00000159339","PADI4",-2.5207116200401,1.05406314196421e-108,-0.259360834898832,3.58893577588669e-55,"Down",5.71982903225807,"HSPC-low"
"ENSG00000079385","CEACAM1",-2.46336249408101,5.02715195776567e-86,-0.251541799775403,1.01518244760281e-61,"Down",6.30206,"HSPC-low"
"ENSG00000137441","FGFBP2",-2.36247343283955,1.63883865084634e-44,-0.15485198547356,1.40383980386537e-18,"Down",NA,"Not-evaluated"
"ENSG00000100450","GZMH",-2.29340840150756,9.88395408204625e-33,-0.159762193656432,1.38599494181855e-16,"Down",5.91237419354839,"HSPC-low"
"ENSG00000139572","GPR84",-2.26715954869476,4.87779840459638e-67,-0.196459544454763,1.78193269657161e-31,"Down",NA,"Not-evaluated"
"ENSG00000035664","DAPK2",-2.23348815497435,3.36768499784484e-120,-0.183708205151417,1.06720746961688e-53,"Down",5.77890161290323,"HSPC-low"
"ENSG00000177398","UMODL1",2.22333126842074,2.96785545753327e-166,0.172813007967879,1.25192556039883e-12,"Up",NA,"Not-evaluated"
"ENSG00000182866","LCK",-2.05783996164499,2.18173782865649e-53,-0.158337899731292,3.01243400859929e-24,"Down",6.35355967741936,"HSPC-low"
"ENSG00000133063","CHIT1",-1.94404342692428,1.65974371052778e-63,-0.434617076826158,1.0168119186182e-88,"Down",5.41008709677419,"HSPC-low"
"ENSG00000181631","P2RY13",-1.92513690214017,2.01183264123831e-21,-0.226098326887066,4.79139279945593e-22,"Down",6.64140967741936,"HSPC-low"
